Breed,Color,Gender,Age,AdoptionLikelihood
Chihuahua Shorthair Mix,White/Brown,Neutered Male,1,1
Anatol Shepherd/Labrador Retriever,Buff,Neutered Male,0,1
Chihuahua Shorthair Mix,Brown,Spayed Female,7,1
American Foxhound/Labrador Retriever,White/Brown,Neutered Male,2,1
Chihuahua Shorthair Mix,Tricolor,Neutered Male,9,1
Yorkshire Terrier Mix,Brown/Black,Intact Male,10,0
Chihuahua Shorthair,Brown,Neutered Male,10,1
Beagle Mix,Brown/White,Spayed Female,2,1
Labrador Retriever Mix,Brown/White,Neutered Male,0,1
Labrador Retriever/Staffordshire,Black/White,Neutered Male,2,1
Pit Bull Mix,Brown Brindle/White,Neutered Male,0,1
Black Mouth Cur Mix,Brown/Black,Neutered Male,0,1
Border Collie Mix,Chocolate/White,Spayed Female,0,1
Collie Rough Mix,Red,Spayed Female,12,0
German Shepherd Mix,Black/Tan,Spayed Female,0,1
German Shepherd Mix,Brown/Black,Spayed Female,5,1
Rat Terrier/Cardigan Welsh Corgi,Black/White,Neutered Male,1,1
Australian Cattle Dog,Blue Tick/Black,Spayed Female,0,1
Pit Bull Mix,Blue/White,Neutered Male,1,0
Miniature Poodle Mix,Tan,Spayed Female,0,1
Dachshund/Chihuahua Shorthair,Sable/Tan,Neutered Male,0,1
Chihuahua Shorthair Mix,Tan/White,Neutered Male,1,1
Labrador Retriever Mix,Brown/Brown,Spayed Female,1,1
American Bulldog,Brown Brindle/White,Neutered Male,2,1
American Pit Bull Terrier Mix,Brown/White,Spayed Female,1,0
Chihuahua Shorthair Mix,Tricolor,Neutered Male,7,1
Labrador Retriever,Black,Spayed Female,0,1
German Shepherd Mix,White,Intact Female,1,0
Beagle Mix,Brown/White,Neutered Male,3,1
Labrador Retriever Mix,Brown/White,Neutered Male,0,1
Siberian Husky,Gray/White,Neutered Male,4,1
Yorkshire Terrier/Miniature Poodle,Brown/Gray,Neutered Male,0,1
Miniature Pinscher Mix,Red,Neutered Male,8,1
Boxer Mix,Red/White,Spayed Female,0,1
Catahoula/Pointer,Brown Merle/White,Spayed Female,0,1
Standard Poodle,Silver,Neutered Male,1,1
Labrador Retriever Mix,Brown/White,Neutered Male,1,1
Australian Cattle Dog Mix,Tricolor,Spayed Female,0,1
Miniature Poodle Mix,Apricot,Intact Male,1,0
Pit Bull Mix,Apricot/Brown,Neutered Male,3,0
Pit Bull Mix,Brown/White,Neutered Male,1,1
German Shepherd Mix,Black/Tan,Spayed Female,1,1
Staffordshire Mix,Brown/White,Spayed Female,6,1
Australian Cattle Dog Mix,Tan/White,Neutered Male,0,1
Labrador Retriever,Black,Intact Female,0,1
Pit Bull Mix,Brown/White,Intact Female,0,0
German Shepherd Mix,Tan/Black,Spayed Female,3,1
Pit Bull Mix,Brown Brindle/White,Neutered Male,1,1
Queensland Heeler/Pointer,Blue Tick,Spayed Female,1,1
Catahoula Mix,Brown Brindle/White,Neutered Male,1,1
Pug Mix,Black/White,Neutered Male,6,1
Beagle/Dachshund,Black/Tricolor,Spayed Female,0,1
Pit Bull/Australian Cattle Dog,Chocolate/Tan,Neutered Male,2,0
Boxer/Australian Cattle Dog,Brown Brindle/White,Neutered Male,0,1
Pit Bull Mix,White/Brown,Spayed Female,2,0
Border Terrier,Black/Tan,Spayed Female,3,1
Chihuahua Shorthair Mix,Brown,Neutered Male,3,0
Boxer Mix,White/Brown Brindle,Neutered Male,3,1
Flat Coat Retriever/Pit Bull,Buff,Intact Female,0,0
Mastiff Mix,Brown Brindle/White,Neutered Male,7,1
Cairn Terrier Mix,White/Buff,Spayed Female,2,0
Pit Bull Mix,Brown Brindle,Intact Female,2,0
Golden Retriever/Bearded Collie,Red/White,Spayed Female,0,1
American Eskimo Mix,Cream,Neutered Male,9,1
Yorkshire Terrier Mix,Black/Brown,Spayed Female,0,1
Boston Terrier Mix,White/Blue,Spayed Female,3,1
German Shepherd Mix,Cream,Neutered Male,2,1
Australian Kelpie Mix,Black/Tan,Neutered Male,2,1
Siberian Husky Mix,Black/White,Neutered Male,2,1
Catahoula Mix,White/Tan,Neutered Male,1,1
Yorkshire Terrier Mix,Black/Tan,Intact Male,1,0
Shiba Inu Mix,Tan,Spayed Female,6,0
Standard Poodle/Labrador Retriever,Cream,Neutered Male,0,0
Pit Bull Mix,White,Intact Female,0,0
Dachshund Mix,Red/White,Neutered Male,0,1
Pit Bull Mix,Black/White,Spayed Female,3,1
Staffordshire/Basset Hound,Brown Brindle/White,Neutered Male,1,1
Akita Mix,Sable,Neutered Male,1,1
German Shepherd Mix,Red,Spayed Female,1,1
Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle,Neutered Male,1,1
Pit Bull Mix,Fawn/White,Intact Female,2,0
Pit Bull Mix,Tan/White,Spayed Female,4,1
American Bulldog Mix,Black/White,Spayed Female,1,1
Chihuahua Shorthair/Rat Terrier,Tricolor,Intact Male,1,0
Miniature Poodle Mix,White,Neutered Male,1,1
Black Mouth Cur Mix,Brown/Black,Neutered Male,1,1
Flat Coat Retriever Mix,Black/White,Neutered Male,2,1
Pit Bull Mix,Blue/White,Intact Male,0,0
Chihuahua Longhair Mix,Brown/Black,Spayed Female,4,1
Labrador Retriever Mix,Chocolate,Neutered Male,6,0
Labrador Retriever,Tan/White,Neutered Male,2,0
Miniature Poodle/Miniature Schnauzer,Buff,Intact Male,2,1
Jack Russell Terrier Mix,Black,Neutered Male,0,1
Harrier Mix,Brown/Black,Neutered Male,10,1
Chihuahua Shorthair,Cream,Spayed Female,7,1
Boston Terrier Mix,Black/White,Spayed Female,0,1
Miniature Schnauzer Mix,Brown,Intact Female,0,0
American Foxhound Mix,White/Black,Neutered Male,1,1
Anatol Shepherd,Tan,Neutered Male,1,1
Labrador Retriever,Tricolor,Spayed Female,0,1
German Shepherd/Labrador Retriever,Tan,Neutered Male,0,1
Miniature Schnauzer Mix,Tan/Gray,Neutered Male,4,1
Cardigan Welsh Corgi Mix,Tricolor,Spayed Female,0,1
Boxer,Brown/White,Spayed Female,0,1
Havanese Mix,Apricot,Neutered Male,0,1
Pit Bull,Black,Neutered Male,2,1
Yorkshire Terrier Mix,Black/Brown,Intact Male,7,0
Pit Bull Mix,Blue/White,Spayed Female,2,1
American Bulldog Mix,White/Tan,Neutered Male,3,1
Rottweiler/German Shepherd,Sable,Spayed Female,0,1
Dachshund Mix,Tan,Intact Male,0,0
Wire Hair Fox Terrier Mix,Tricolor,Intact Female,8,0
Dachshund Mix,Brown/White,Neutered Male,0,1
Australian Cattle Dog Mix,Blue Tick,Neutered Male,2,1
Labrador Retriever Mix,Black,Intact Female,0,0
Chihuahua Shorthair Mix,Brown,Intact Female,0,0
Border Collie/Whippet,Black/White,Intact Female,1,1
Labrador Retriever,Tricolor,Neutered Male,0,1
German Shepherd Mix,Black/Brown,Neutered Male,6,1
Chihuahua Shorthair Mix,Brown,Spayed Female,0,1
Chihuahua Shorthair Mix,Black/White,Spayed Female,6,0
Chihuahua Shorthair Mix,Red/White,Spayed Female,2,1
Dachshund Mix,Red/Buff,Neutered Male,4,0
Doberman Pinsch Mix,Black/Tan,Neutered Male,5,1
German Shepherd Mix,Black/Brown,Neutered Male,2,1
Australian Shepherd Mix,Blue Merle,Spayed Female,0,1
Pit Bull Mix,White/Gray,Intact Female,0,0
Chihuahua Shorthair Mix,Tricolor,Neutered Male,1,1
Labrador Retriever Mix,Black/Brown,Spayed Female,0,1
German Shepherd/Labrador Retriever,Tan/Black,Neutered Male,0,1
Labrador Retriever Mix,Yellow,Spayed Female,7,1
Labrador Retriever,Tricolor,Unknown,0,0
Labrador Retriever/Australian Kelpie,Chocolate/White,Neutered Male,1,1
American Staffordshire Terrier Mix,Brown Brindle/White,Spayed Female,1,1
Beagle,White/Brown,Spayed Female,6,1
Chihuahua Shorthair Mix,Tan/White,Neutered Male,2,1
Miniature Pinscher Mix,Chocolate/Tan,Neutered Male,1,1
Miniature Schnauzer Mix,Black/Brown Brindle,Neutered Male,12,1
Chihuahua Shorthair/Rat Terrier,Tricolor,Neutered Male,2,0
Anatol Shepherd Mix,Tan/White,Neutered Male,1,1
Chihuahua Shorthair/Pug,Brown,Spayed Female,1,1
German Shepherd Mix,Black/Tan,Spayed Female,1,0
Boxer Mix,Brown/White,Neutered Male,1,1
Pit Bull Mix,Blue/White,Spayed Female,2,1
Greyhound,Tan/White,Intact Male,0,0
Chihuahua Longhair Mix,Brown,Intact Male,5,0
Collie Smooth Mix,Tricolor,Neutered Male,0,1
Rat Terrier Mix,White/Black,Intact Male,7,0
Chihuahua Shorthair Mix,White/Tan,Intact Female,12,0
Labrador Retriever/Pit Bull,Brown Brindle,Intact Male,0,0
Labrador Retriever Mix,Black,Neutered Male,2,1
Norfolk Terrier Mix,Black/Brown,Neutered Male,1,1
Rottweiler,Tricolor,Spayed Female,4,1
Chihuahua Shorthair Mix,Brown/White,Intact Female,2,0
Cardigan Welsh Corgi/Chihuahua Shorthair,White/Red,Neutered Male,0,1
Chihuahua Shorthair Mix,Cream,Spayed Female,1,1
Border Collie Mix,White/Black,Spayed Female,0,1
German Shepherd Mix,Sable,Neutered Male,1,1
Labrador Retriever/Pit Bull,Red/White,Neutered Male,0,1
